Start Date,  End Date,  Start Time,  End Time,  Location,  Subject
2018-09-23, 2018-09-23,  10:40 PM, 11:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs FTS 
2018-09-30, 2018-09-30,  05:20 PM, 06:30 PM, Veterans Memorial Park Ice Arena,  Bells Hockey vs Cubs Ac 
2018-10-07, 2018-10-07,  04:00 PM, 05:10 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Acme 
2018-10-14, 2018-10-14,  10:40 PM, 11:50 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2018-10-28, 2018-10-28,  10:40 PM, 11:50 AM, Veterans Memorial Park Ice Arena,  Acme vs Cubs Ac 
2018-11-04, 2018-11-04,  06:40 PM, 07:50 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2018-11-11, 2018-11-11,  05:20 PM, 06:30 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs FTS 
2018-11-25, 2018-11-25,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Acme 
2018-12-02, 2018-12-02,  06:40 PM, 07:50 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2018-12-09, 2018-12-09,  06:40 PM, 07:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs FTS 
2018-12-16, 2018-12-16,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Bells Hockey vs Cubs Ac 
2018-12-30, 2018-12-30,  05:20 PM, 06:30 PM, Veterans Memorial Park Ice Arena,  FTS vs Cubs Ac 
2019-01-06, 2019-01-06,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Acme 
2019-01-13, 2019-01-13,  05:20 PM, 06:30 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2019-01-27, 2019-01-27,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Acme 
2019-02-17, 2019-02-17,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  FTS vs Cubs Ac 
2019-02-24, 2019-02-24,  10:40 PM, 11:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Bells Hockey 
2019-03-03, 2019-03-03,  09:20 PM, 10:30 PM, Veterans Memorial Park Ice Arena,  Acme vs Cubs Ac 
2019-03-10, 2019-03-10,  06:40 PM, 07:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Eagles 
2019-03-17, 2019-03-17,  08:00 PM, 09:10 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Bells Hockey 
2019-03-24, 2019-03-24,  10:40 PM, 11:50 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac
